id,brand_name,generic_name,no_pocket,no_box,kind_id,ml,unit_id,weight,location,country_id,company,barcode,price,existence,minmum_existence,maximum_existence,must_advised,dividing_rules,cautions,usages,description,image,user
2922,DROPA,DROTAVERTINE,1,1,6,40,,,,,,,1.5,,0,0,,,,,,,1
2923,SOLVIT-M,"MULTIVITAMIN ,MINERALS",1,1,6,1.50 MG,,,,,,,5,,0,0,,,,,,,1
2924,TAMEN,PARACETAMOL,1,1,6,500 MG,,,,,,,0.8,,0,0,,,,,,,1
2925,LOSITA 5,ESCITALOPRAM,1,1,6,5 MG,,,T37,,SK+F,,7,,0,0,,,,,,,1
2926,LOSITA 10,ESCITALOPRAM,1,1,6,10 MG,,,,,SK+F,,11.5,,0,0,,,,,,,1
2927,INTASONE,HYDROCORTISONE,1,1,9,10,,,,,INCEPTA,,48,,0,0,,,,,,,1
2928,ETORIX 120 ,ETORICOXIB,1,1,6,120 MG,,,,,SK+F,,17,,0,0,,,,,,,1
2929,LOSECTIL,OMEPRAZOLE,1,1,3,40 MG,,,O12,,SK+F,,14.6,,0,0,,,,,,,1
2930,RHINUCET,CETIRIZINE,1,1,6,10 MG,,,,,,,2,,0,0,,,,,,,1
2931,RIDON,DOMPERIDONE,1,1,6,10 MG,,,N31,,SK+F,,3,,0,0,,,,,,,1
2932,RIDON,DOMPERIDONE,1,1,30,100 ML,,,N10,,SK+F,,105,,0,0,,,,,,,1
2933,PETRA,ESOMEPRAZOLE,1,1,3,20,,,,,,,3.9,,0,0,,,,,,,1
2934,ROXIM 400,CEFIXIME,1,1,3,400 MG,,,F86,,,,33.3,,0,0,,,,,,,1
2935,STOMDEX,DEXLANSOPRAZOLE,1,1,3,60,,,N40,,,,12,,0,0,,,,,,,1
2936,SLONA,CLONAZEPAM,1,1,6,2,,,T15,,,,5.3,,0,0,,,,,,,1
2937,HYDROUREA,HYDROXYUREA,1,1,3,500,,,M13,,PHARMADIC,,13,,0,0,,,,,,,1
2938,MOTIS,DOMPERIDONE,1,1,6,10,,,N31,,DEVA,,3.5,,0,0,,,,,,,1
2939,ANPLAG,TICAGRELOR,1,1,6,90,,,,,PHARMEVO,,30,,0,0,,,,,,,1
2940,ORALIT,SODIUM CHLORID,1,1,22,200 G,,,H5,,,,3,,0,0,,,,,,,1
2941,SCHAZOFIX,AZITHROMYCIN,1,1,6,500 MG,,,,,SCHAZOO,,22.5,,0,0,,,,,,,1
2942,LiJENTA,LINAGLIPTIN,1,1,6,5,,,,,NIPRO JMI,,13.5,,0,0,,,,,,,1
2943,LECOX,CELECOXIB,1,1,3,200 MG,,,,,BIO-LABS,,5,,0,0,,,,,,,1
2944,MEMYTON,,1,1,1,200 ML,,,,,ANVIS,,100,,0,0,,,,,,,1
2945,LANCERID,LANSOPRAZOLE,1,1,3,30 MG,,,,,,,5.4,,0,0,,,,,,,1
2946,NAXDOM,"NAPROXEN ,DOMPERIDON",1,1,6,250,,,,,,,8,,0,0,,,,,,,1
2947,ESOLEX,ESCITALOPRAM OXALATE,1,1,6,10 MG,,,,,,,8.9,,0,0,,,,,,,1
2948,ESOQUIN,ESOMEPRAZOLE,1,1,3,20 MG,,,,,,,5.3,,0,0,,,,,,,1
2949,ESOQUIN,ESOMEPRAZOLE,1,1,3,40 MG,,,,,,,8.2,,0,0,,,,,,,1
2950,PROZOLE,OMEPRAZOLE,1,1,3,20 MG,,,,,GLOBAL,,3.9,,0,0,,,,,,,1
2951,OMEGA-3 NATURAL HEALTH,,1,1,3,1000,,,,,,,3.1,,0,0,,,,,,,1
2952,ZERIFAX,RIFAXIMIN,1,1,6,۵۵۰ MG,,,M53,,AGP,,33,,0,0,,,,,,,1
2953,NEW DERM GHORUH  -V34زخم بستر,,1,1,18,30,,,,,,,170,,0,0,,,,,,,1
2954,ASTHIVEN,MONTELUKAST,1,1,6,5 MG,,,Q44,,SCILIFE,,3.6,,0,0,,,,,,,1
2955,SYNCARD,"ATORVASTATIN ,AMLODIPINE",1,1,6,10 MG & 5 MG,,,,,INCEPTA,,5.1,,0,0,,,,,,,1
2956,CEFACLAV,"CEFUROXIME ,CLAVULANIC ACID",1,1,6,250MG+62.5 MG,,,,,INCEPTA,,23.8,,0,0,,,,,,,1
2957,DEXA-REX,DEXAMETHASONE,1,1,10,4 MG,,,,,,,10.5,,0,0,,,,,,,1
2958,SOMEZOL,ESOMEPRAZOLE,1,1,3,20,,,N50,,BOSCH,,6.8,,0,0,,,,,,,1
2959,PSYLLIUM,,1,1,22,70 GR,,,H11,,,,100,,0,0,,,,,,,1
2960,PANTOCID IT,,1,1,3,40+150,,,,,,,25,,0,0,,,,,,,1
2961,GESTOFORD,PROGESTERONE,1,1,3,200 MG,,,,,,,16.5,,0,0,,,,,,,1
2962,DENTAM,FAST TOOTHACHE PAIN RELIER,1,1,25,5 GR,,,,,,,40,,0,0,,,,,,,1
2963,ANTIAL,LORATADINE,1,1,1,30,,,,,,,30,,0,0,,,,,,,1
2964,TESAVEL,,1,1,6,50/500,,,,,,,12.1,,0,0,,,,,,,1
2965,AVIRAVIR,ENTEKAVIR,1,1,6,0.5 MG,,,,,,,120,,0,0,,,,,,,1
2966,FISH LIVER OIL,VIT A+D,1,1,3,3000 IU,,,,,,,0.8,,0,0,,,,,,,1
2967,BEMIKS,B-COMPLEX,1,1,6,.,,,H14,,,,4,,0,0,,,,,,,1
2968,PARADOL,PARACETAMOL,1,1,6,500 MG,,,,,,,1.5,,0,0,,,,,,,1
2969,PAIN MOOVE,,1,1,18,25 G,,,,,,,40,,0,0,,,,,,,1
2970,MAXIPEN,,1,1,7,1,,,R44,,ULAGAY,,470,,0,0,,,,,,,1
2971,REMOXIL,AMOXICILLIN,1,1,6,1000,,,,,ULAGAY,,14.7,,0,0,,,,,,,1
2972,SIPROSAN,CIPROFLOXACIN,1,1,6,500,,,,,,,11,,0,0,,,,,,,1
2973,CEFUROL,SEFUROKSIM AKSETIL,1,1,6,500 MG,,,,,ULAGAY,,35,,0,0,,,,,,,1
2974,IESEF,CEFTRIAXONE,1,1,10,1000 MG,,,R5,,,,115,,0,0,,,,,,,1
2975,TYLOL PLUS,PARASETAMOL KAFEIN,1,1,6,500 MG,,,K12,,NOBEL,,3.5,,0,0,,,,,,,1
2976,LOSARTIL,LOSARTAN POTASSIUM,1,1,6,50 MG,,,,,,,5,,0,0,,,,,,,1
2977,DIVATOR,ATORVASTATIN,1,1,6,10 MG,,,,,,,7,,0,0,,,,,,,1
2978,ESOCAP,ESOMEPRAZOLE,1,1,3,40,,,,,,,3.2,,0,0,,,,,,,1
2979,DORZOX,DORZOLAMIDE,1,1,12,2%,,,,,,,450,,0,0,,,,,,,1
2980,KLAMAXIN,KLARITROMISIN,1,1,6,500 MG,,,,,,,29.6,,0,0,,,,,,,1
2981,KIDSPLUS,VITAMINS MINERALS,1,1,1,200 ML,,,H48,,,,135,,0,0,,,,,,,1
2982,BEVITAL-C,VIT B COMPEX VIT C,1,1,1,100 ML,,,H39,,ANATOLIA,,105,,0,0,,,,,,,1
2983,OVULET,CLOMIFENE CITRATE,1,1,6,50 MG,,,,,RENATA,,9.5,,0,0,,,,,,,1
2984,ALMAGCID PLUS,LIQUID ANTACID,1,1,1,150 ML,,,,,TOTAL,,100,,0,0,,,,,,,1
2985,TOTALVIT,"MUTI VIT ,MINERAL",1,1,1,200 ML,,,,,,,140,,0,0,,,,,,,1
2986,TOTALVIT JUNIOR,,1,1,1,200 ML,,,,,,,135,,0,0,,,,,,,1
2987,DEXXOO,DEXLANSOPRAZOLE,1,1,3,30 MG,,,,,HORIZON,,8,,0,0,,,,,,,1
2988,MAXPRO,ESOMEPRAZOLE,1,1,3,20,,,,,,,2.1,,0,0,,,,,,,1
2989,OPRACID,OMEPRAZOLE,1,1,3,20 MG,,,,,,,3.6,,0,0,,,,,,,1
2990,FIXIM,CEFIXIME,1,1,1,100 MG,,,,,,,72,,0,0,,,,,,,1
2991,ALDOPA,METHYLDOPA,1,1,6,250 MG,,,,,,,3.8,,0,0,,,,,,,1
2992,FLUDERM,FLUCONAZOLE,1,1,3,150 MG,,,,,NABIQASIM,,90,,0,0,,,,,,,1
2993,SINAKORT-A,TRIAMCINOLONE,1,1,10,40,,,S68,,ULAGAY,,90,,0,0,,,,,,,1
2994,DIVALPRO,SODIUM VALPROATE,1,1,1,120,,,T70,,KAIZEN,,60,,0,0,,,,,,,1
2995,NEUROMIN,MECOBALAMIN,1,1,10,500,,,,,,,13,,0,0,,,,,,,1
2996,ENDURAFLEX,,1,1,3,0,,,,,,,30,,0,0,,,,,,,1
2997,GINKGO BILOBA,NATURES AID,1,1,6,120,,,,,,,10.7,,0,0,,,,,,,1
2998,CALCIPURE,,1,1,3,60,,,,,,,5,,0,0,,,,,,,1
2999,PHARMA PLUSS,,1,1,3,.,,,,,LEDA,,10,,0,0,,,,,,,1
3000,ALOE OIL,NATURAL HEALTH,1,1,3,0,,,,,,,3.5,,0,0,,,,,,,1
3001,CALCIUM LIQUID,,1,1,27,1000,,,,,,,3,,0,0,,,,,,,1
3002,DELTAFAST,DESLORATADINE,1,1,1,60 ML,,,G8,,SCHAZOO,,45,,0,0,,,,,,,1
3003,CECOR,CEFACLOR,1,1,30,125 MG,,,,,,,138,,0,0,,,,,,,1
3004,OLANZAPINE Eliss,,1,1,6,2.5,,,,4,,,1.5,,0,0,,,,,,,1
3005,CIPESTA,CIPROFLOXACIN,1,1,4,200MG,,,L28,,GETZ,,90,,0,0,,,,,,,1
3006,CARPRO,CARVEDILOL,1,1,6,6.25 MG,,,,,NABIQASIM,,3.3,,0,0,,,,,,,1
3007,CO-DEPRICAP,"OLANZAPINE ,FUOXETINE",1,1,3,6/25 MG,,,T68,,NABIQASIM,,11.4,,0,0,,,,,,,1
3008,LOPROT,OMEPRAZOLE,1,1,17,40 MG,,,,,NABIQASIM,,80,,0,0,,,,,,,1
3009,PEPTICURE,RANITIDINE,1,1,6,150 MG,,,,,NABIQASIM,,3.3,,0,0,,,,,,,1
3010,VANBACT,VANCOMYCIN,1,1,10,500 MG,,,,,NABIQASIM,,350,,0,0,,,,,,,1
3011,ZUDICORT,"FUSIDIC ACID ,BETAMETHASONE",1,1,9,15 GR,,,,,NABIQASIM,,105,,0,0,,,,,,,1
3012,ZULOXET,DULOXETINE,1,1,3,30 MG,,,,,NABIQASIM,,15.5,,0,0,,,,,,,1
3013,U-PROGEST,PROGESTERONE,1,1,3,200 MG,,,,,OBS,,43,,0,0,,,,,,,1
3014,IMILIFE,IMIPENEM,1,1,10,500 MG,,,,,,,270,,0,0,,,,,,,1
3015,NESSENG PLUS,,1,1,3,0,,,H46,,,,7.6,,0,0,,,,,,,1
3016,PROTÉGÉ,,1,1,22,10,,,J55,,AGP,,30,,0,0,,,,,,,1
3017,ALFA-WEL,ALFACALCIDOL,1,1,6,0.5 MG,,,,,,,4.5,,0,0,,,,,,,1
3018,NARCOGEN,NIMESULIDE,1,1,6,100 MG,,,,,,,4,,0,0,,,,,,,1
3019,PROSCAR,FINASTERIDE,1,1,6,5 MG,,,,6,,,31.4,,0,0,,,,,,,1
3020,ZEVINC,ZINC GLUCONATE,1,1,6,50,,,,,,,6.5,,0,0,,,,,,,1
3021,BOSKA,,1,1,6,500 MG,,,,,,,2.5,,0,0,,,,,,,1
3022,BIOTREXATE,METHOTREXATE,1,1,10,50 MG,,,,,,,70,,0,0,,,,,,,1
3023,TRUSOPT,DORZOLAMIDE HYDROCHLORIDE,1,1,16,5 ML,,,,,,,700,,0,0,,,,,,,1
3024,CEF-OD,CEFIXIME,1,1,3,400 MG,,,P34,,CCL,,30,,0,0,,,,,,,1
3025,FOLLIHAIR,,1,1,6,0,,,,,ABBOTT,,24,,0,0,,,,,,,1
3026,ISOMIN-20,ISOSORBIDE,1,1,6,20 MG,,,,,,,4,,0,0,,,,,,,1
3027,CLOZOX,CLOTRIMAZOLE,1,1,8,0.5 G,,,V19,,SHAIGAN,,45,,0,0,,,,,,,1
3028,SOFTIMA,,1,1,9,30,,,,,,,40,,0,0,,,,,,,1
3029,LAMCY,FLUOROMETHOLONE,1,1,21,0.10%,,,W17,,SHAIGAN,,35,,0,0,,,,,,,1
3030,MYDEX,"TOBRAMYCIN ,DEXAMETHASONE",1,1,21,5 ML,,,,,SHAIGAN,,75,,0,0,,,,,,,1
3031,TRIMEGA,"OMEGA 3,6,9",1,1,3,1200 MG,,,,,SHAIGAN,,8,,0,0,,,,,,,1
3032,XELL-10,ROSUVASTATIN,1,1,6,10 MG,,,,,SHAIGAN,,12.5,,0,0,,,,,,,1
3033,BABY CURE,ORS,1,1,16,500 ML,,,,,AVISON,,30,,0,0,,,,,,,1
3034,JAAMVIT PLUS,,1,1,1,200,,,,,,,77,,0,0,,,,,,,1
3035,NOVASALIC,"BETAMETHASONE DIP ,SAL",1,1,16,25 ML,,,,,PHARMAHEALTH,,62,,0,0,,,,,,,1
3036,LEVOXIN SEARLE,LEVOFLOXACIN,1,1,6,250 MG,,,,,,,10.5,,0,0,,,,,,,1
3037,SIGNACIL,SECNIDAZOLE,1,1,6,100,,,,,,,17.5,,0,0,,,,,,,1
3038,CIPROVIS 500,CIPROFLOXACIN,1,1,6,500,,,P43,,,,4.7,,0,0,,,,,,,1
3039,GUTCARE,PROBIOTIC,1,1,19,500 MG,,,,,SEARLE,,24,,0,0,,,,,,,1
3040,UFLORA,PROBIOTIC V,1,1,3,1,,,O47,,SEARLE,,25,,0,0,,,,,,,1
3041,DESVA ER 250,DIVALPROEX,1,1,6,250,,,,,,,3.5,,0,0,,,,,,,1
3042,ONATO,AMLODIPINE,1,1,6,5,,,,,,,4,,0,0,,,,,,,1
3043,FERIMAX,IRON SUCROSE,1,1,10,5 ML,,,,,,,270,,0,0,,,,,,,1
3044,ZIMON,ZINC,1,1,1,100 ML,,,,,,,58,,0,0,,,,,,,1
3045,HBCILA,"IMIPENEM ,CILASTATIN",1,1,7,500,,,,,,,370,,0,0,,,,,,,1
3046,FLUCORT MZ,"FLUOCINOLONE ,MICONAZOLE",1,1,18,15 GR,,,,,GLEENMARK,,85,,0,0,,,,,,,1
3047,CITROLIN,MOUTH WASH,1,1,16,120 ML,,,,,PHARCO,,85,,0,0,,,,,,,1
3048,KINOVES,CIPROFLOXACIN,1,1,6,500 MG,,,,,,,7,,0,0,,,,,,,1
3049,FERRO-6,,1,1,3,100 MG,,,,,,,7.4,,0,0,,,,,,,1
3050,ADOLOR,KETOROLAC TROMETHAMINE,1,1,6,10 MG,,,,,PHARCO,,5,,0,0,,,,,,,1
3051,RABIDOC,,1,1,6,20 MG,,,,,,,2,,0,0,,,,,,,1
3052,DD-100,NANDROLONE DECANOATE,1,1,10,100 MG,,,,,,,125,,0,0,,,,,,,1
3053,DECANEVOL,NANDROLONE DECANOATE,1,1,10,50 MG,,,,,,,100,,0,0,,,,,,,1
3054,SUHAGRA-25,SILDENAFIL,1,1,6,25 MG,,,N5,,CIPLA,,7.5,,0,0,,,,,,,1
3055,IVIG 2.5 GR,IMMUNOGLOBULIN,1,1,4,50,,,,,,,6600,,0,0,,,,,,,1
3056,DECA-DURABOLIN,,1,1,10,25 MG,,,,,,,63,,0,0,,,,,,,1
3057,VASOFLAM-T,FLUOROMETHOLONE...,1,1,21,5 ML,,,,,,,59,,0,0,,,,,,,1
3058,VITAMIN E PHARCO,,1,1,3,400,,,,,,,7,,0,0,,,,,,,1
3059,RITAL,METHYLPHENIDATE,1,1,6,10,,,T58,,,,38,,0,0,,,,,,,1
3060,MEROZAN,MEROPENEM,1,1,17,1000,,,,,,,230,,0,0,,,,,,,1
3061,TRIMVIS,TRIAMINOLONE,1,1,6,6 MG,,,,,,,2.5,,0,0,,,,,,,1
3062,MAGNACENT,MENOTROPIN,1,1,10,75 IU,,,,,,,320,,0,0,,,,,,,1
3063,ACLOVIS SP,ACECLOFENAC...,1,1,6,100. 500 . 10 MG,,,,,ANVIS,,3.5,,0,0,,,,,,,1
3064,CETRYN 5,CETRIZINE,1,1,1,5 MG,,,,,,,120,,0,0,,,,,,,1
3065,HONEY DERM,ABUKHALSA,1,1,18,30 GR,,,V25,,,,160,,0,0,,,,,,,1
3066,GINGEROL JOINT PAIN,,1,1,18,50 G,,,V46,,,,150,,0,0,,,,,,,1
3067,PERCENNA,,1,1,38,50 G,,,,,,,250,,0,0,,,,,,,1
3068,LOCHOL,ATORVASTATIN,1,1,6,40 MG,,,F12,,SCILIFE,,12.5,,0,0,,,,,,,1
3069,UMEPENTA,PANTOPRAZOLE,1,1,10,40 MG,,,,,,,30,,0,0,,,,,,,1
3070,BIOCETAMOL,PARACETAMOL,1,1,4,100,,,,,,,60,,0,0,,,,,,,1
3071,LEFLOX,LEVOFLOXACIN,1,1,4,750MG,,,L28,,GETZ,,160,,0,0,,,,,,,1
3072,PAROXY CR-12.5,PAROXETIN...,1,1,6,12.5,,,,,,,3.5,,0,0,,,,,,,1
3073,RABI-DSR,,1,1,3,.,,,,,ZENLABS,,2.5,,0,0,,,,,,,1
3074,X-PLENDED EZ,ROSUVASTATIN-EZETIMIBE,1,1,6,0,,,,,,,12,,0,0,,,,,,,1
3075,VIT-D3,STERILE VIT D3,1,1,10,600000 IU,,,,,NEON,,75,,0,0,,,,,,,1
3076,ALKASYM,POTASSIUM CITRATE,1,1,1,120 ML,,,,,,,140,,0,0,,,,,,,1
3077,SYMLUKAST,LEVOCETRIZINE,1,1,1,60 ML,,,,,,,70,,0,0,,,,,,,1
3078,EPIRANT,RANITIDINE,1,1,6,150 MG,,,F87,,,,3.5,,0,0,,,,,,,1
3079,FEMISOF INTIMATE WASH,,1,1,14,100,,,,,,,170,,0,0,,,,,,,1
3080,AXIDOX,DOXYCYCLINE,1,1,3,100,,,,,,,3,,0,0,,,,,,,1
3081,PEDISALT,,1,1,19,2.6 G,,,H3,,,,7,,0,0,,,,,,,1
3082,PRANAX ,ALPRAZOLAM,1,1,6,1 MG,,,,,,,6,,0,0,,,,,,,1
3083,DERMOVATE-NN,clobetasol neomycin nystatin,1,1,18,20 G,,,V23,,,,48,,0,0,,,,,,,1
3084,MILK PLUS,,1,1,6,.,,,,,NUTRABIOTICS,,12,,0,0,,,,,,,1
3085,XURIN-K,,1,1,6,0,,,,,PACIFIC,,4,,0,0,,,,,,,1
3086,LIDE,NIMESULIDE,1,1,6,100,,,,,DANAS,,1.5,,0,0,,,,,,,1
3087,PENTATE IT,,1,1,3,40 MG,,,,,,,6.5,,0,0,,,,,,,1
3088,ORTHOMAX-D6,vitamin-d3,1,1,10,15 MG,,,S50,,,,30,,0,0,,,,,,,1
3089,CONCOR COR,BISOPROLOL FUMARATE,1,1,6,1.25,,,,,MERCK,,6.5,,0,0,,,,,,,1
3090,CLINDAMAC,CLINDAMYCIN,1,1,10,300,,,,,,,50,,0,0,,,,,,,1
3091,PERSIAN GELSIRIN,,1,1,31,3%,,,,,,,25,,0,0,,,,,,,1
3092,ORSIFLOR-Z,LYOPHILIZED..,1,1,19,3.5 billion CFU,,,,,GENETICS,,21,,0,0,,,,,,,1
3093,OLANZA-2.5,,1,1,6,2.5 MG,,,,,,,1.5,,0,0,,,,,,,1
3094,LEUCOFIT,,1,1,3,0,,,,,NUTRABIOTICS,,8.7,,0,0,,,,,,,1
3095,Z-NEST,ALPRAZOLAM,1,1,6,0.5,,,,,,,1.5,,0,0,,,,,,,1
3096,CARAWAY MIXTURE WATER,,1,1,1,120,,,,,,,60,,0,0,,,,,,,1
3097,VIGAX,"SILDENAFIL ,DAPOXETINE",1,1,6,100+60 MG,,,,,,,10,,0,0,,,,,,,1
3098,RHOGAM,,1,1,7,0,,,,,,,3100,,0,0,,,,,,,1
3099,CRESTAT,ROSUVASTATIN,1,1,6,5,,,F72,,CCL,,6.5,,0,0,,,,,,,1
3100,ZEVITHROMYCIN-500,CLARITHROMYCIN,1,1,6,500,,,P53,,,,14,,0,0,,,,,,,1
3101,VIGRANDE,SILDENAFIL,1,1,6,0,,,,,,,145,,0,0,,,,,,,1
3102,ETOTAC SR,ETODOLAK,1,1,6,600,,,,,,,22.4,,0,0,,,,,,,1
3103,NUROFARM C,,1,1,6,0,,,,,,,4.6,,0,0,,,,,,,1
3104,TOPIRVA,TOPIRAMATE,1,1,6,50 MG,,,,,INCEPTA,,9.2,,0,0,,,,,,,1
3105,ORICOX 90,ETORICOXIB,1,1,6,90 MG,,,,,INCEPTA,,10.5,,0,0,,,,,,,1
3106,ORIGAB,PREGABALIN,1,1,3,75,,,K35,,ORISON,,4,,0,0,,,,,,,1
3107,STOMACH TUBE,NG. TUBE,1,1,5,0,,,,,,,20,,0,0,,,,,,,1
3108,QLUZ,PIROXICAM,1,1,10,20 MG,,,,,WILSHIRE,,8,,0,0,,,,,,,1
3109,FOLIC ACID ALBRO,,1,1,6,5 MG,,,,,,,0.6,,0,0,,,,,,,1
3110,TUMCIDO,,1,1,30,200 ML,,,O49,,,,90,,0,0,,,,,,,1
3111,EPIFENAC,DICLOFENAC,1,1,10,75 MG,,,,,EPICO,,26.7,,0,0,,,,,,,1
3112,FAMILY ZINC,,1,1,1,150,,,,,,,115,,0,0,,,,,,,1
3113,ALFOO,ALFUZOSIN,1,1,6,10,,,,,,,18.3,,0,0,,,,,,,1
3114,ZOLFRESH 5,ZOLPIDEM,1,1,6,5,,,,,ABBOTT,,8.3,,0,0,,,,,,,1
3115,MAC-10,MONTELUKAST,1,1,6,10,,,,,,,3.6,,0,0,,,,,,,1
3116,CIPROEPN-500,CIPROFLOXACIN,1,1,6,500,,,,,,,4.2,,0,0,,,,,,,1
3117,CYCLOBEENA,CYCLOPENTOLATE,1,1,12,5,,,,,,,120,,0,0,,,,,,,1
3118,OLOPAT,OLOPATADINE,1,1,21,0.10%,,,,,VEGA,,184,,0,0,,,,,,,1
3119,ZOLFRESH 10,ZOLPIDEM,1,1,6,10,,,,,ABBOTT,,11.3,,0,0,,,,,,,1
3120,RIDOMIDE,LACOSAMIDE,1,1,6,50,,,,,,,11.8,,0,0,,,,,,,1
3121,BETA-I,PIROXICAM,1,1,6,20,,,,,,,5,,0,0,,,,,,,1
3122,PETRA,ESOMEPRAZOLE,1,1,3,40,,,,,,,5,,0,0,,,,,,,1
3123,AVSAR PLUS,,1,1,6,160/5/12.5,,,,,,,5.5,,0,0,,,,,,,1
3124,MULTI-21,,1,1,6,.,,,,,,,4,,0,0,,,,,,,1
3125,SUPER BIOTIN,,1,1,6,6000,,,,,,,13.3,,0,0,,,,,,,1
3126,SERRATOL,FLUOXETINE,1,1,3,20,,,,,,,4.3,,0,0,,,,,,,1
3127,L-ARGININE,ROZA CIT,1,1,32,1000,,,,,,,12,,0,0,,,,,,,1
3128,ALZENTINE,MEMANTINE,1,1,6,10,,,,,,,18,,0,0,,,,,,,1
3129,ITRACONOL,ITRACONAZOLE,1,1,3,200,,,,,,,10,,0,0,,,,,,,1
3130,PREGABEL-NTP,PREGABALIN,1,1,6,75 MG,,,,,,,6,,0,0,,,,,,,1
3131,MOXILIUM CV,,1,1,10,1.2 GM,,,,,,,85,,0,0,,,,,,,1
3132,CROMOLYN,,1,1,12,5,,,,,,,40,,0,0,,,,,,,1
3133,ARID-M,MONTELUKAST,1,1,6,10 MG,,,Q51,,NEON,,8,,0,0,,,,,,,1
3134,R-CIN,RIFAMPICIN,1,1,3,600,,,L45,,,,13.3,,0,0,,,,,,,1
3135,COLOREST,,1,1,21,30 ML,,,W34,,HILTON,,115,,0,0,,,,,,,1
3136,NAUSIDOX,DOXYLAMINE+PYRIDOXINE,1,1,6,10+10,,,,,,,3,,0,0,,,,,,,1
3137,NORGYL,,1,1,21,30,,,,,,,45,,0,0,,,,,,,1
3138,DIROGEST,DYDROGESTERONE,1,1,6,10 MG,,,J6,,,,6,,0,0,,,,,,,1
3139,OTID,CEPHRADINE,1,1,3,500 MG,,,,,SAMI,,10,,0,0,,,,,,,1
3140,TONOFLEX,TRAMADOL HCI,1,1,10,100 MG,,,,,SAMI,,27,,0,0,,,,,,,1
3141,CIPROMUST,CIPROFLOXACIN,1,1,6,500 MG,,,,,,,8.3,,0,0,,,,,,,1
3142,ZENOGLIM,"GLIMEPIRIDE ,METFORMIN",1,1,6,2-500MG,,,M2,,,,9,,0,0,,,,,,,1
3143,VITAMERGE,FERRIC AMMONIUM,1,1,1,200 ML,,,,,,,83,,0,0,,,,,,,1
3144,Q-FIT,COENZYME,1,1,3,5.343 KCAL,,,Q10,,MARINE,,22.5,,0,0,,,,,,,1
3145,L-PINE,LYCOPENE,1,1,3,5.330 KCAL,,,,,,,6,,0,0,,,,,,,1
3146,FENSEC,OMEPRAZOLE,1,1,3,20 MG,,,,,UNIMAX,,3.1,,0,0,,,,,,,1
3147,MULTI PACK,GINSENG...,1,1,3,5.343 KCAL,,,,,UNIMAX,,5,,0,0,,,,,,,1
3148,IZONE,CEFTRIAXONE,1,1,10,1000,,,,,UNIMAX,,60,,0,0,,,,,,,1
3149,VITAL FOLIC,,1,1,6,0,,,,,BIOCARE,,4,,0,0,,,,,,,1
3150,VITALMIN PLUS,,1,1,6,0,,,,,,,4.3,,0,0,,,,,,,1
3151,LABEBET,LABETALOL,1,1,6,100,,,,,,,18,,0,0,,,,,,,1
3152,FENOLIP-145,FENOFIBRATE,1,1,6,145,,,,,,,16,,0,0,,,,,,,1
3153,PANARAM,PARACETAMOL,1,1,6,500 MG,,,,,EFROZE,,0.6,,0,0,,,,,,,1
3154,MG-CLAV,,1,1,7,1.2,,,,,,,75,,0,0,,,,,,,1
3155,GELIGA,,1,1,9,20,,,,,,,40,,0,0,,,,,,,1
3156,NEW GUMBO,,1,1,6,500 MG,,,,,,,3.3,,0,0,,,,,,,1
3157,BRONCHODEX,BROMHEXINE,1,1,1,4MG,,,,,,,30,,0,0,,,,,,,1
3158,HARMONY,PAROXETINE,1,1,6,20,,,,,,,13,,0,0,,,,,,,1
3159,COLSPAS,,1,1,21,10 ML,,,W35,,COLES,,30,,0,0,,,,,,,1
3160,BREDIN,NIMODIPINE,1,1,6,30 MG,,,,,,,14.6,,0,0,,,,,,,1
3161,YASMIN,"DROSPIRENONE ,ETHINYL ESTRADIOL",1,1,6,0,,,,,,,39.1,,0,0,,,,,,,1
3162,TRIGYL,METRONIDAZOLE,1,1,30,60 ML,,,,,,,40,,0,0,,,,,,,1
3163,ZOREPRAZOLE-ITP,,1,1,3,0,,,,,,,6,,0,0,,,,,,,1
3164,DOXCARE,DOXYCYCLINE,1,1,3,100,,,,,DR.ARAR,,2.5,,0,0,,,,,,,1
3165,TERIFRACE,TERIPARATIDE,1,1,7,250 MCG/3 ML,,,,,,,9500,,0,0,,,,,,,1
3166,ZEVLUKAST-FX,,1,1,6,0,,,,,,,3.5,,0,0,,,,,,,1
3167,HERBION NATURAL ,ISPAGHOL,1,1,22,140,,,,,,,200,,0,0,,,,,,,1
3168,ROMYCIN,AZITHROMYCIN,1,1,3,250 MG,,,,,NABIQASIM,,10.8,,0,0,,,,,,,1
3169,NIMOLYT PT,,1,1,6,100 MG,,,K7,,BRESTON,,3.5,,0,0,,,,,,,1
3170,CALCIUM-P -50,,1,1,1,110 ML,,,,,,,38,,0,0,,,,,,,1
3171,SUGAR BALANCE,PURE HERBAL,1,1,3,10 MG,,,,,,,6.8,,0,0,,,,,,,1
3172,PAIN RELIEF OIL,PURE HERBAL,1,1,61,120 ML,,,,,,,480,,0,0,,,,,,,1
3173,TERBIF,TERBINAFINE,1,1,6,250 MG,,,,,DERMACURE,,18.9,,0,0,,,,,,,1
3174,EPILITE,HYDROQUINONE,1,1,18,20 G,,,V23,,DERMACURE,,115,,0,0,,,,,,,1
3175,DECORT,HYDROCORTISONE,1,1,16,30 ML,,,,,,,140,,0,0,,,,,,,1
